array size, create-time(ns), shuffle-time(ns), copy-time(ns), save-time(ns), quicksort-time(ms), bubblesort-time(ms), binarysearch-time(ms), linearsearch-time(ms)
716000, 3178500,  856045600,  534000,  10700,  10700,  N/A,  10700,  10700,  
721000, 3348000,  862040900,  757400,  11000,  11000,  N/A,  11000,  11000,  
726000, 3204900,  941873600,  528600,  9500,  9500,  N/A,  9500,  9500,  
731000, 3124400,  870699300,  724200,  11700,  11700,  N/A,  11700,  11700,  
736000, 3435700,  990760500,  866800,  13700,  13700,  N/A,  13700,  13700,  
741000, 5366100,  942880100,  554800,  9200,  9200,  N/A,  9200,  9200,  
746000, 3462500,  927118700,  738800,  14400,  14400,  N/A,  14400,  14400,  
751000, 3528500,  894898400,  767800,  13500,  13500,  N/A,  13500,  13500,  
756000, 4060100,  938223700,  760900,  13800,  13800,  N/A,  13800,  13800,  
761000, 3096300,  931257200,  749600,  13400,  13400,  N/A,  13400,  13400,  
766000, 3441400,  1087934900,  531900,  9200,  9200,  N/A,  9200,  9200,  
771000, 3318200,  946141800,  791200,  12400,  12400,  N/A,  12400,  12400,  
776000, 5458400,  1054955700,  539700,  10000,  10000,  N/A,  10000,  10000,  
781000, 3558700,  951369300,  653300,  12700,  12700,  N/A,  12700,  12700,  
786000, 4028700,  961457800,  591600,  9400,  9400,  N/A,  9400,  9400,  
791000, 3585800,  936969600,  844100,  12900,  12900,  N/A,  12900,  12900,  
796000, 3607000,  1010458500,  838300,  12300,  12300,  N/A,  12300,  12300,  
801000, 3738200,  1094895200,  654200,  9500,  9500,  N/A,  9500,  9500,  
806000, 3716700,  1090938800,  606600,  10500,  10500,  N/A,  10500,  10500,  
811000, 3735400,  982869100,  580400,  9200,  9200,  N/A,  9200,  9200,  
816000, 3570200,  1085534600,  605700,  9200,  9200,  N/A,  9200,  9200,  
821000, 3225700,  1083560500,  841200,  12100,  12100,  N/A,  12100,  12100,  
826000, 4218600,  1109001900,  918200,  9100,  9100,  N/A,  9100,  9100,  
831000, 3253500,  1138088400,  593600,  9200,  9200,  N/A,  9200,  9200,  
836000, 3516400,  1091268800,  842700,  15300,  15300,  N/A,  15300,  15300,  
841000, 3455700,  1065398100,  743000,  16700,  16700,  N/A,  16700,  16700,  
846000, 3412900,  1052771500,  608000,  10100,  10100,  N/A,  10100,  10100,  
851000, 3510700,  1030748600,  848400,  13200,  13200,  N/A,  13200,  13200,  
856000, 3594500,  1155579000,  869000,  12300,  12300,  N/A,  12300,  12300,  
861000, 3721900,  1171377400,  902500,  13100,  13100,  N/A,  13100,  13100,  
866000, 3674300,  1059268300,  671500,  9900,  9900,  N/A,  9900,  9900,  
871000, 3458800,  1191716500,  921700,  12500,  12500,  N/A,  12500,  12500,  
876000, 5712900,  1231291900,  960400,  11900,  11900,  N/A,  11900,  11900,  
881000, 3606500,  1162848900,  643600,  8600,  8600,  N/A,  8600,  8600,  
886000, 6278400,  1080679200,  854800,  9000,  9000,  N/A,  9000,  9000,  
891000, 3739700,  1203638300,  691100,  9600,  9600,  N/A,  9600,  9600,  
896000, 3891300,  1265463500,  923300,  12100,  12100,  N/A,  12100,  12100,  
901000, 3934600,  1087728800,  587900,  8500,  8500,  N/A,  8500,  8500,  
906000, 3553700,  1127851300,  915000,  13100,  13100,  N/A,  13100,  13100,  
911000, 3789700,  1133531500,  989400,  12000,  12000,  N/A,  12000,  12000,  
916000, 4414400,  1139140100,  702500,  10800,  10800,  N/A,  10800,  10800,  
921000, 3963100,  1185793000,  961200,  11700,  11700,  N/A,  11700,  11700,  
926000, 3812900,  1108621800,  634300,  10200,  10200,  N/A,  10200,  10200,  
931000, 3896800,  1203872300,  679600,  10100,  10100,  N/A,  10100,  10100,  
936000, 3774000,  1156907800,  743600,  10000,  10000,  N/A,  10000,  10000,  
941000, 4000700,  1217510600,  789800,  12000,  12000,  N/A,  12000,  12000,  
946000, 3852900,  1243431700,  812700,  9900,  9900,  N/A,  9900,  9900,  
951000, 4171400,  1265337500,  765000,  9100,  9100,  N/A,  9100,  9100,  
956000, 5825700,  1225435700,  670100,  10200,  10200,  N/A,  10200,  10200,  
961000, 4200400,  1280526300,  740700,  10000,  10000,  N/A,  10000,  10000,  
966000, 4306100,  1183379400,  964400,  14800,  14800,  N/A,  14800,  14800,  
971000, 7420400,  1188341900,  1023500,  11600,  11600,  N/A,  11600,  11600,  
976000, 4295400,  1246277200,  705400,  10000,  10000,  N/A,  10000,  10000,  
981000, 3955400,  1313244700,  716900,  9800,  9800,  N/A,  9800,  9800,  
986000, 4196900,  1306602500,  693500,  9700,  9700,  N/A,  9700,  9700,  
991000, 4755600,  1200902600,  734200,  18300,  18300,  N/A,  18300,  18300,  
996000, 3921000,  1277199100,  996700,  12800,  12800,  N/A,  12800,  12800,  
